"","PLOT_ID","Source","Lat","Lon","Slope","gr_mean","Biom_mean","RS","PWQ","PH","SOC","Basal","CV","Age","Biome","Sink"
"1","Plot1","FIA",31.52,-88.05,-3.53,0.435,0.023,19.93,391,5.199999809,19.68,0.0041,0.47,97.5,"Temperate",0.412
"2","Plot2","FIA",30.87,-87.73,-1.4,0.394,0.012,20.02,508,5.699999809,40.66,0.0038,0.37,58.75,"Temperate",0.382
"3","Plot3","FIA",31.01,-87.94,-1.53,0.263,0.059,18.73,466,5.300000191,61.59,0.0024,0.45,59.25,"Temperate",0.204
"4","Plot4","FIA",31.15,-86.65,-1.45,0.173,0.013,19.15,455,5.099999905,21.32,0.0011,0.36,60.75,"Temperate",0.16
"5","Plot5","FIA",32.3,-88.31,-2,0.658,0.054,21.4,344,5.199999809,19.54,0.0026,0.27,55,"Temperate",0.604
"6","Plot6","FIA",31.99,-88.1,-2.14,0.615,0.127,21.64,352,5.099999905,29.63,0.004,0.34,54.5,"Temperate",0.488
"7","Plot7","FIA",31.95,-88.11,-1.07,0.14,0.024,21.57,353,5.099999905,32.88,0.0017,0.34,43.25,"Temperate",0.116
"8","Plot8","FIA",31.65,-87.8,-1.43,0.489,0.027,21.39,382,5.5,18.89,0.0028,0.41,59.75,"Temperate",0.462
"9","Plot9","FIA",31.54,-86.98,-0.68,0.383,0.289,21.34,407,5.199999809,19.2,0.003,0.43,57,"Temperate",0.094
"10","Plot10","FIA",31.55,-87.49,-3.8,0.296,0.004,20.6,377,5.199999809,23.33,0.0038,0.47,57.75,"Temperate",0.292
"11","Plot11","FIA",31.94,-85.87,-2.98,0.409,0.033,20.85,355,4.900000095,18.72,0.0026,0.49,44,"Temperate",0.376
"12","Plot12","FIA",32.17,-85.98,-2.05,0.265,0.048,20.72,343,5,19.49,0.002,0.34,49.75,"Temperate",0.217
"13","Plot13","FIA",32.26,-85.88,-2.77,0.35,0.004,21.27,340,5.099999905,21.1,0.0023,0.41,76.5,"Temperate",0.346
"14","Plot14","FIA",32.27,-85.15,-2.33,0.248,0.046,21.8,337,6.599999905,22.4,0.0028,0.45,42,"Temperate",0.202
"15","Plot15","FIA",33.09,-85.83,-3.11,0.333,0.017,20.87,343,5.400000095,23.57,0.0022,0.39,56.75,"Temperate",0.316
